dateTime,Temperature,Humidity,Heater,Vent,Fan
2016-04-26 02:08:06,19.0,45.2,40,31,42
2016-04-26 02:08:36,19.0,46.2,40,31,42
2016-04-26 02:09:08,19.1,49.2,40,31,32
2016-04-26 02:09:36,19.0,48.0,40,31,42
2016-04-26 02:10:06,19.1,47.6,40,31,42
2016-04-26 02:10:36,19.1,47.2,40,31,42
2016-04-26 02:11:08,19.1,47.8,40,31,42
2016-04-26 02:11:36,19.1,48.2,40,31,42
2016-04-26 02:12:06,19.1,47.0,40,31,42
2016-04-26 02:12:36,19.1,48.7,40,31,32
2016-04-26 02:13:06,19.1,47.5,40,31,42
2016-04-26 02:13:36,19.1,48.5,40,31,42
2016-04-26 02:14:06,19.1,47.1,40,31,42
2016-04-26 02:14:36,19.1,47.4,40,31,42
2016-04-26 02:15:06,19.1,47.7,40,31,42
2016-04-26 02:15:36,19.1,47.9,40,31,42
2016-04-26 02:16:06,19.1,49.1,40,31,32
2016-04-26 02:16:36,19.1,48.1,40,31,42
2016-04-26 02:17:06,19.1,47.8,40,31,42
2016-04-26 02:17:36,19.1,48.2,40,31,42
2016-04-26 02:18:06,19.1,48.2,40,31,42
2016-04-26 02:18:36,19.1,48.2,40,31,42
2016-04-26 02:19:06,19.1,48.3,40,31,42
2016-04-26 02:19:38,19.1,50.6,40,31,32
2016-04-26 02:20:06,19.1,48.0,40,31,42
2016-04-26 02:20:36,19.1,46.6,40,31,42
2016-04-26 02:21:06,19.1,47.9,40,31,42
2016-04-26 02:21:36,19.1,47.9,40,31,42
2016-04-26 02:22:06,19.1,47.7,40,31,42
2016-04-26 02:22:36,19.0,47.8,40,31,42
2016-04-26 02:23:06,19.1,49.7,40,31,32
2016-04-26 02:23:38,19.0,48.6,40,31,42
2016-04-26 02:24:06,18.9,48.8,40,41,42
2016-04-26 02:24:38,18.6,46.4,40,31,42
2016-04-26 02:25:06,18.6,46.4,40,31,42
2016-04-26 02:25:36,18.6,46.5,40,31,42
2016-04-26 02:26:07,18.6,46.0,40,31,42
2016-04-26 02:26:37,18.6,48.4,40,31,32
2016-04-26 02:27:07,18.6,47.1,40,31,42
2016-04-26 02:27:37,18.7,47.6,40,31,42
2016-04-26 02:28:09,18.6,47.7,40,31,42
2016-04-26 02:28:37,18.7,47.7,40,31,42
2016-04-26 02:29:07,18.7,47.9,40,31,42
2016-04-26 02:29:37,18.7,47.8,40,31,42
2016-04-26 02:30:07,18.7,49.2,40,31,32
2016-04-26 02:30:37,18.7,48.5,40,31,42
2016-04-26 02:31:07,18.7,47.9,40,31,42
2016-04-26 02:31:37,18.7,47.8,40,31,42
2016-04-26 02:32:07,18.7,47.6,40,31,42
2016-04-26 02:32:37,18.7,47.8,40,31,42
2016-04-26 02:33:07,18.7,48.4,40,31,42
2016-04-26 02:33:37,18.8,50.5,40,31,32
2016-04-26 02:34:07,18.7,48.5,40,31,42
2016-04-26 02:34:37,18.7,48.5,40,31,42
2016-04-26 02:35:07,18.7,47.8,40,31,42
2016-04-26 02:35:37,18.7,48.3,40,31,42
2016-04-26 02:36:07,18.7,48.0,40,31,42
2016-04-26 02:36:37,18.7,48.1,40,31,42
2016-04-26 02:37:11,18.7,51.2,40,31,32
2016-04-26 02:37:37,18.7,49.2,40,31,42
